"Citation: Samuel H. Williamson, 'Daily Closing Value of the Dow Jones Average, 1885 to Present,' MeasuringWorth, 2026. "
"Date","DJIA"
"12/31/1938","154.76"
"1/3/1939","153.64"
"1/4/1939","154.85"
"1/5/1939","153.18"
"1/6/1939","152.87"
"1/7/1939","151.54"
"1/9/1939","150.19"
"1/10/1939","150.48"
"1/11/1939","148.65"
"1/12/1939","147.33"
"1/13/1939","146.52"
"1/14/1939","148.26"
"1/16/1939","148.26"
"1/17/1939","148.93"
"1/18/1939","148.99"
"1/19/1939","149.47"
"1/20/1939","149.11"
"1/21/1939","146.76"
"1/23/1939","141.32"
"1/24/1939","141.35"
"1/25/1939","140.72"
"1/26/1939","136.42"
"1/27/1939","138.9"
"1/28/1939","138.79"
"1/30/1939","141.56"
"1/31/1939","143.76"
"2/1/1939","142.43"
"2/2/1939","144.34"
"2/3/1939","143.55"
"2/4/1939","145.07"
"2/6/1939","145.03"
"2/7/1939","144.1"
"2/8/1939","145.43"
"2/9/1939","143.99"
"2/10/1939","143.68"
"2/11/1939","144.61"
"2/14/1939","144.13"
"2/15/1939","144.6"
"2/16/1939","145.39"
"2/17/1939","144.95"
"2/18/1939","145.51"
"2/20/1939","142.74"
"2/21/1939","142.64"
"2/23/1939","142.93"
"2/24/1939","145.44"
"2/25/1939","146.82"
"2/27/1939","146.62"
"2/28/1939","147.3"
"3/1/1939","147.15"
"3/2/1939","146.96"
"3/3/1939","148.76"
"3/4/1939","149.49"
"3/6/1939","148.84"
"3/7/1939","149.37"
"3/8/1939","151.42"
"3/9/1939","151.33"
"3/10/1939","152.28"
"3/11/1939","151.77"
"3/13/1939","150.79"
"3/14/1939","151.1"
"3/15/1939","147.66"
"3/16/1939","147.54"
"3/17/1939","143.89"
"3/18/1939","141.68"
"3/20/1939","141.28"
"3/21/1939","143.41"
"3/22/1939","139.51"
"3/23/1939","140.33"
"3/24/1939","141.82"
"3/25/1939","141.55"
"3/27/1939","141.14"
"3/28/1939","139.33"
"3/29/1939","139.75"
"3/30/1939","136.69"
"3/31/1939","131.84"
"4/1/1939","132.83"
"4/3/1939","132.25"
"4/4/1939","129.8"
"4/5/1939","130.34"
"4/6/1939","126.32"
"4/8/1939","121.44"
"4/10/1939","124.03"
"4/11/1939","123.75"
"4/12/1939","126.15"
"4/13/1939","127.51"
"4/14/1939","126.2"
"4/15/1939","129.61"
"4/17/1939","127.34"
"4/18/1939","125.38"
"4/19/1939","127.01"
"4/20/1939","128.41"
"4/21/1939","128.71"
"4/22/1939","128.55"
"4/24/1939","127.34"
"4/25/1939","127.36"
"4/26/1939","128.56"
